cell_id,n_calibration_full,n_test,main_fraction,main_test_risk,fixed20_iou,fixed20_risk,mean_test_atoms,median_test_atoms,mean_test_rationale_fraction,median_test_rationale_fraction,cal_seconds,test_seconds,peak_vram_mib,total_seconds,family,task,model
bxaic__B__gin__seed42,119,109,0.01,0.029051987767584102,0.18645378770279053,0.0,32.42201834862385,27.0,0.040620891317447894,0.038461538461538464,10.058060500072315,13.379937799996696,20.72216796875,23.44412130001001,bxaic,B,gin
bxaic__B__gcn__seed42,119,109,0.01,0.029051987767584102,0.18645378770279053,0.0,32.42201834862385,27.0,0.040620891317447894,0.038461538461538464,12.835686700069346,11.360680900048465,20.2138671875,24.207053399994038,bxaic,B,gcn
bxaic__P__gin__seed42,657,638,0.02,0.10976490624748046,0.20367438499800047,0.0,39.93887147335423,32.0,0.0438526013322088,0.037037037037037035,10.222833100007847,7.66683090000879,20.72216796875,17.909497900051065,bxaic,P,gin
bxaic__P__gcn__seed42,657,638,0.02,0.10976490624748046,0.20367438499800047,0.0,39.93887147335423,32.0,0.0438526013322088,0.037037037037037035,12.082017199951224,18.24520260002464,20.2138671875,30.34971590002533,bxaic,P,gcn
bxaic__X__gin__seed42,2764,2822,0.05,0.09216811222480963,0.2838077320570864,0.001392826206787936,31.212260807937632,29.0,0.06179904728214351,0.045454545454545456,10.256676199962385,8.997298399917781,20.72216796875,19.357688899966888,bxaic,X,gin
bxaic__X__gcn__seed42,2764,2822,0.05,0.09216811222480963,0.2838077320570864,0.001392826206787936,31.212260807937632,29.0,0.06179904728214351,0.045454545454545456,18.05618680000771,10.623424100107513,20.2138671875,28.754577600047924,bxaic,X,gcn
bxaic__indole__gin__seed42,1887,1847,0.67,0.09801464452249513,0.4019287912623642,0.5002795979311951,40.09745533297239,31.0,0.31401613925020716,0.3,13.699343499960378,7.369337099953555,20.72216796875,21.12417900003493,bxaic,indole,gin
bxaic__indole__gcn__seed42,1887,1847,0.68,0.09511959796204518,0.22181680361674883,0.6860680945615976,40.09745533297239,31.0,0.31401613925020716,0.3,11.877011599950492,15.810173099976964,20.2138671875,27.781693099997938,bxaic,indole,gcn
bxaic__PAINS__gin__seed42,1625,1644,0.84,0.10021768040983,0.3609635570361391,0.5603485757426134,30.128345498783457,28.0,0.3429300273211182,0.3333333333333333,10.74555180000607,13.461656599887647,20.72216796875,24.73855170002207,bxaic,PAINS,gin
bxaic__PAINS__gcn__seed42,1625,1644,0.89,0.09730453274525726,0.19263133377538066,0.7380470693190322,30.128345498783457,28.0,0.3429300273211182,0.3333333333333333,11.368178499978967,12.229550699936226,20.2138671875,23.667098599951714,bxaic,PAINS,gcn
bxaic__rings-count__gin__seed42,4935,4933,0.9,0.0941799224407364,0.09829494152306303,0.8970288044289497,34.77620109466856,29.0,0.6409435890524521,0.6666666666666666,8.97946290008258,9.306831199908629,20.72216796875,18.50442919996567,bxaic,rings-count,gin
bxaic__rings-count__gcn__seed42,4935,4933,0.89,0.09968211792662801,0.13641297205905537,0.846805283249323,34.77620109466856,29.0,0.6409435890524521,0.6666666666666666,16.54494509997312,11.960280300001614,20.2138671875,28.654283299925737,bxaic,rings-count,gcn
bxaic__rings-max__gin__seed42,297,277,0.93,0.09994925441187473,0.09157507787440074,0.8531747384748546,62.631768953068594,40.0,0.2695864100324637,0.2645161290322581,11.717171699972823,9.649755800026469,20.72216796875,21.379679100005887,bxaic,rings-max,gin
bxaic__rings-max__gcn__seed42,297,277,0.92,0.08749858457981446,0.27096811243013186,0.6351818929003887,62.631768953068594,40.0,0.2695864100324637,0.2645161290322581,14.260280100046657,14.145041099982336,20.2138671875,28.41862799995579,bxaic,rings-max,gcn
google__benzene__gin__seed42,1000,999,0.73,0.10225344392011057,0.23798660929293883,0.7007384368495478,21.964964964964963,23.0,0.37297463514181783,0.3,2.9112628999864683,3.476330399978906,18.6904296875,6.428213900071569,google,benzene,gin
google__benzene__gcn__seed42,1000,999,0.47000000000000003,0.10280220696887363,0.5049393301414286,0.46725773392440056,21.964964964964963,23.0,0.37297463514181783,0.3,4.021850000019185,4.5153572000563145,18.4560546875,8.570914899930358,google,benzene,gcn
google__logic7__gin__seed42,66,47,0.74,0.09169199594731509,0.3196470786896318,0.4981509625126647,21.680851063829788,22.0,0.19681660005157905,0.19047619047619047,2.151216300087981,1.2142530999844894,18.71337890625,3.3694283000659198,google,logic7,gin
google__logic7__gcn__seed42,66,47,0.56,0.06793313069908814,0.4273471800067544,0.36144883485309015,21.680851063829788,22.0,0.19681660005157905,0.19047619047619047,1.517632000031881,1.0985206000041217,18.47900390625,2.6192395999096334,google,logic7,gcn
google__logic8__gin__seed42,269,184,0.86,0.09056520170650605,0.22573566228457534,0.6873556998556999,21.847826086956523,22.5,0.3053538395099064,0.28,2.181202400010079,1.3191132999490947,18.76123046875,3.508372399955988,google,logic8,gin
google__logic8__gcn__seed42,269,184,0.96,0.027254101574753747,0.2693729579599145,0.6409592822636301,21.847826086956523,22.5,0.3053538395099064,0.28,3.415004500071518,2.5758183000143617,18.5234375,5.999746699933894,google,logic8,gcn
google__logic10__gin__seed42,192,112,0.87,0.09142483260786831,0.15360693700096895,0.8105648815470244,21.419642857142858,22.0,0.4953679494352989,0.47619047619047616,3.680944399908185,2.484431999968365,18.7685546875,6.173381199943833,google,logic10,gin
google__logic10__gcn__seed42,192,112,0.63,0.10448532122639266,0.2040853535470132,0.759926345975453,21.419642857142858,22.0,0.4953679494352989,0.47619047619047616,5.249637400032952,3.4017036000732332,18.5341796875,8.66042899992317,google,logic10,gcn
