method,calibration_size_multiplier,cells,resamples,mean_fraction,median_fraction,q25_fraction,q75_fraction,mean_realized_atom_fraction,mean_test_risk,risk_violation_frequency
corrected,0.25,22,11000,0.5925981818181818,0.73,0.05,0.89,0.6131541861134102,0.07894215326802745,0.15418181818181817
corrected,0.5,22,11000,0.5826354545454545,0.6900000000000001,0.05,0.89,0.6031491482714998,0.08386402958929837,0.20381818181818182
corrected,1.0,22,11000,0.5782363636363637,0.6900000000000001,0.05,0.89,0.598698779649249,0.08667888909373374,0.244
naive,0.25,22,11000,0.5740045454545455,0.6900000000000001,0.05,0.89,0.5944131901374077,0.08899400584643502,0.32172727272727275
naive,0.5,22,11000,0.5737472727272728,0.68,0.05,0.89,0.5940865193150717,0.08932261626987699,0.33054545454545453
naive,1.0,22,11000,0.5737654545454546,0.68,0.05,0.89,0.594119126812082,0.08950883127681648,0.33145454545454545
