cell_id,family,task,model,seed,explainer,alpha,crc_fraction,crc_test_risk,crc_mean_atom_fraction,naive_fraction,naive_test_risk,random_fraction,crc_minus_naive_fraction,risk_pass,efficiency_pass,oracle_fraction,oracle_calibration_risk,oracle_corrected_risk,oracle_n_calibration_rationale,oracle_test_risk,oracle_test_mean_atom_fraction,oracle_test_median_atom_fraction,oracle_test_precision,oracle_test_iou,oracle_n_test_rationale,excess_grid_fraction,recoverable_efficiency_grid
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,0.05,0.01,0.0290519877675841,0.0386003571497199,0.01,0.0290519877675841,0.9670689714625956,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,0.0,1.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,0.1,0.01,0.0290519877675841,0.0386003571497199,0.01,0.0290519877675841,0.9109252060222288,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,0.0,1.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,0.2,0.01,0.0290519877675841,0.0386003571497199,0.01,0.0290519877675841,0.7782746170955813,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,0.0,1.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,0.05,0.01,0.0290519877675841,0.0386003571497199,0.01,0.0290519877675841,0.9670689714625956,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,0.0,1.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,0.1,0.01,0.0290519877675841,0.0386003571497199,0.01,0.0290519877675841,0.9109252060222288,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,0.0,1.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,0.2,0.01,0.0290519877675841,0.0386003571497199,0.01,0.0290519877675841,0.7782746170955813,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,0.0,1.0
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,gradinput,0.05,0.01,0.0290519877675841,0.0386003571497199,0.01,0.0290519877675841,0.9500960721384788,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,0.0,1.0
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,gradinput,0.1,0.01,0.0290519877675841,0.0386003571497199,0.01,0.0290519877675841,0.8893335038811342,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,0.0,1.0
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,gradinput,0.2,0.01,0.0290519877675841,0.0386003571497199,0.01,0.0290519877675841,0.7989221917985107,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,0.0,1.0
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,ig,0.05,0.01,0.0290519877675841,0.0386003571497199,0.01,0.0290519877675841,0.9500960721384788,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,0.0,1.0
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,ig,0.1,0.01,0.0290519877675841,0.0386003571497199,0.01,0.0290519877675841,0.8893335038811342,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,0.0,1.0
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,ig,0.2,0.01,0.0290519877675841,0.0386003571497199,0.01,0.0290519877675841,0.7989221917985107,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,0.0,1.0
bxaic__B__gcn__seed42,bxaic,B,gcn,42,gradinput,0.05,0.01,0.0290519877675841,0.0386003571497199,0.01,0.0290519877675841,0.958384319631281,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,0.0,1.0
bxaic__B__gcn__seed42,bxaic,B,gcn,42,gradinput,0.1,0.01,0.0290519877675841,0.0386003571497199,0.01,0.0290519877675841,0.9109252060222288,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,0.0,1.0
bxaic__B__gcn__seed42,bxaic,B,gcn,42,gradinput,0.2,0.01,0.0290519877675841,0.0386003571497199,0.01,0.0290519877675841,0.7894019257274031,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,0.0,1.0
bxaic__B__gcn__seed42,bxaic,B,gcn,42,ig,0.05,0.01,0.0290519877675841,0.0386003571497199,0.01,0.0290519877675841,0.958384319631281,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,0.0,1.0
