cell_id,family,task,model,seed,explainer,alpha,crc_fraction,crc_test_risk,crc_mean_atom_fraction,naive_fraction,naive_test_risk,random_fraction,crc_minus_naive_fraction,risk_pass,efficiency_pass
bxaic__B__gin__seed42,bxaic,B,gin,42,gradinput,0.05,0.01,0.029051987767584102,0.03860035714971998,0.01,0.029051987767584102,0.958384319631281,0.0,True,True
bxaic__B__gin__seed42,bxaic,B,gin,42,gradinput,0.1,0.01,0.029051987767584102,0.03860035714971998,0.01,0.029051987767584102,0.9109252060222288,0.0,True,True
bxaic__B__gin__seed42,bxaic,B,gin,42,gradinput,0.2,0.01,0.029051987767584102,0.03860035714971998,0.01,0.029051987767584102,0.7894019257274031,0.0,True,True
bxaic__B__gin__seed42,bxaic,B,gin,42,ig,0.05,0.01,0.029051987767584102,0.03860035714971998,0.01,0.029051987767584102,0.958384319631281,0.0,True,True
bxaic__B__gin__seed42,bxaic,B,gin,42,ig,0.1,0.01,0.029051987767584102,0.03860035714971998,0.01,0.029051987767584102,0.9109252060222288,0.0,True,True
bxaic__B__gin__seed42,bxaic,B,gin,42,ig,0.2,0.01,0.029051987767584102,0.03860035714971998,0.01,0.029051987767584102,0.7894019257274031,0.0,True,True
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,gradinput,0.05,0.96,0.04763372343231577,0.9747994993281845,0.96,0.04763372343231577,0.9561229549588245,0.0,True,False
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,gradinput,0.1,0.8300000000000001,0.09772876089199861,0.8468982391419475,0.8200000000000001,0.10019522302278125,0.90726752777742,0.010000000000000009,True,False
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,gradinput,0.2,0.51,0.1939799582598717,0.5254579598587015,0.51,0.1939799582598717,0.8060574077896909,0.0,True,True
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,ig,0.05,0.93,0.04814326998273942,0.9462280636892683,0.93,0.04814326998273942,0.9561229549588245,0.0,True,False
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,ig,0.1,0.76,0.09413712002369287,0.7755804835294008,0.76,0.09413712002369287,0.90726752777742,0.0,True,True
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,ig,0.2,0.51,0.18747882914775177,0.5254579598587015,0.51,0.18747882914775177,0.8060574077896909,0.0,True,True
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,gradinput,0.05,0.97,0.01960837393972208,0.9902939499285958,0.97,0.01960837393972208,0.9561229549588245,0.0,True,False
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,gradinput,0.1,0.87,0.0977877037839139,0.886845717303693,0.87,0.0977877037839139,0.90726752777742,0.0,True,False
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,gradinput,0.2,0.51,0.1902333536943716,0.5254579598587015,0.51,0.1902333536943716,0.8060574077896909,0.0,True,True
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,ig,0.05,0.81,0.04345311639572605,0.8271643980179285,0.81,0.04345311639572605,0.9561229549588245,0.0,True,False
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,ig,0.1,0.71,0.09280763677758809,0.727164883610353,0.71,0.09280763677758809,0.90726752777742,0.0,True,True
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,ig,0.2,0.58,0.1929748055289474,0.5961126805626655,0.58,0.1929748055289474,0.8060574077896909,0.0,True,True
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,gradinput,0.05,0.8300000000000001,0.047004555782303496,0.8468982391419475,0.8300000000000001,0.047004555782303496,0.9561229549588245,0.0,True,False
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,gradinput,0.1,0.6900000000000001,0.09216024831211624,0.7066609235190675,0.6900000000000001,0.09216024831211624,0.90726752777742,0.0,True,True
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,gradinput,0.2,0.51,0.18788537506729175,0.5254579598587015,0.51,0.18788537506729175,0.8060574077896909,0.0,True,True
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,ig,0.05,0.77,0.04852839439331048,0.7868792996495827,0.77,0.04852839439331048,0.9561229549588245,0.0,True,True
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,ig,0.1,0.68,0.09511959796204518,0.6955214960377726,0.68,0.09511959796204518,0.90726752777742,0.0,True,True
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,ig,0.2,0.55,0.19273699014494905,0.5656559959354353,0.55,0.19273699014494905,0.8060574077896909,0.0,True,True
bxaic__indole__gin__seed123,bxaic,indole,gin,123,gradinput,0.05,0.96,0.046480394016939784,0.9747994993281845,0.96,0.046480394016939784,0.9561229549588245,0.0,True,False
bxaic__indole__gin__seed123,bxaic,indole,gin,123,gradinput,0.1,0.93,0.09009857750382928,0.9462280636892683,0.93,0.09009857750382928,0.90726752777742,0.0,True,False
bxaic__indole__gin__seed123,bxaic,indole,gin,123,gradinput,0.2,0.85,0.18914357539831284,0.8652452057581679,0.85,0.18914357539831284,0.8060574077896909,0.0,True,False
bxaic__indole__gin__seed123,bxaic,indole,gin,123,ig,0.05,0.6900000000000001,0.04816131726662318,0.7066609235190675,0.6900000000000001,0.04816131726662318,0.9561229549588245,0.0,True,True
bxaic__indole__gin__seed123,bxaic,indole,gin,123,ig,0.1,0.55,0.0965217330945539,0.5656559959354353,0.55,0.0965217330945539,0.90726752777742,0.0,True,True
