explainer,alpha,cells,mean_test_risk,mean_atom_fraction,risk_pass_rate,efficiency_pass_rate,mean_random_atom_fraction,mean_crc_minus_naive_fraction,crc_equals_naive_rate
gradinput,0.05,66,0.03741876364351519,0.6975153881578802,0.9090909090909091,0.3181818181818182,0.9579781871868956,0.0034848484848484847,0.8181818181818182
gradinput,0.1,66,0.08452200649757019,0.65339975772489,0.8333333333333334,0.36363636363636365,0.9079692713589056,0.0021212121212121214,0.803030303030303
gradinput,0.2,66,0.1654472339061256,0.5720037263613919,0.8939393939393939,0.5151515151515151,0.80479470666228,0.002727272727272728,0.8181818181818182
ig,0.05,66,0.041899447717841154,0.65678694673637,0.8787878787878788,0.42424242424242425,0.9579781871868956,0.005303030303030306,0.8181818181818182
ig,0.1,66,0.08720203061929076,0.5941288037688912,0.7878787878787878,0.5909090909090909,0.9079692713589056,0.0036363636363636346,0.7727272727272727
ig,0.2,66,0.17035575397116146,0.48985988958335985,0.8636363636363636,0.8333333333333334,0.80479470666228,0.0025757575757575763,0.8181818181818182
