stratum_type,stratum,metric,molecules,mean,ci_low,ci_high,scope
rationale_fraction,diffuse,miss_loss,11584,0.09932240714211138,0.09804682195191543,0.10054082550063312,pooled_molecule_descriptive
rationale_fraction,diffuse,selected_fraction,11584,0.8768970687491561,0.8751038235523471,0.8785935594354206,pooled_molecule_descriptive
rationale_fraction,diffuse,iou,11584,0.6182330049858622,0.6155044500476253,0.6207595412148449,pooled_molecule_descriptive
rationale_fraction,diffuse,fidelity_advantage,11584,1.0784692767588164,1.0343443723189008,1.1253437795618726,pooled_molecule_descriptive
rationale_fraction,focal,miss_loss,6730,0.04574000868752202,0.04246439197498982,0.048962229593309696,pooled_molecule_descriptive
rationale_fraction,focal,selected_fraction,6730,0.10446064061652781,0.10043074785865275,0.1086585494916422,pooled_molecule_descriptive
rationale_fraction,focal,iou,6730,0.6686874760637009,0.6619245313974951,0.6754560964250245,pooled_molecule_descriptive
rationale_fraction,focal,fidelity_advantage,6730,17.607296312152013,17.354010628592803,17.859255361141855,pooled_molecule_descriptive
rationale_fraction,medium,miss_loss,8910,0.12950311810922369,0.12631325624975523,0.13267339202937795,pooled_molecule_descriptive
rationale_fraction,medium,selected_fraction,8910,0.7160393433124196,0.7111078710549217,0.7209273783627765,pooled_molecule_descriptive
rationale_fraction,medium,iou,8910,0.34805362154705766,0.34548851117330304,0.3506056508538693,pooled_molecule_descriptive
rationale_fraction,medium,fidelity_advantage,8910,3.501068417020518,3.3628985263193165,3.6376123780762204,pooled_molecule_descriptive
atom_size,large,miss_loss,11324,0.09326214366294444,0.09092687368297123,0.09563269943648703,pooled_molecule_descriptive
atom_size,large,selected_fraction,11324,0.6229796558212852,0.6159451473069085,0.6299053748637656,pooled_molecule_descriptive
atom_size,large,iou,11324,0.5143026785704391,0.5096051814838528,0.5188671627945702,pooled_molecule_descriptive
atom_size,large,fidelity_advantage,11324,7.535753992211478,7.331681463110196,7.751033415201971,pooled_molecule_descriptive
atom_size,medium,miss_loss,10384,0.0948288407716151,0.0926210456549922,0.09690398613980798,pooled_molecule_descriptive
atom_size,medium,selected_fraction,10384,0.6399724718950223,0.6332048700079398,0.64651425653906,pooled_molecule_descriptive
atom_size,medium,iou,10384,0.5472344966147998,0.5433744566941947,0.5511007858053095,pooled_molecule_descriptive
atom_size,medium,fidelity_advantage,10384,5.1764947014540805,5.017902476816957,5.336456121601816,pooled_molecule_descriptive
atom_size,small,miss_loss,5516,0.10359873236816358,0.10009850912097464,0.10719516930594748,pooled_molecule_descriptive
atom_size,small,selected_fraction,5516,0.6419163404595666,0.6330931309358516,0.6512402399666158,pooled_molecule_descriptive
atom_size,small,iou,5516,0.5903896059951931,0.5844098419686747,0.5965575057831156,pooled_molecule_descriptive
atom_size,small,fidelity_advantage,5516,4.187275687220457,4.000984392115783,4.379289664370781,pooled_molecule_descriptive
