family,family_label,tasks,cells,method,risk,atom_fraction,precision,iou
bxaic,B-XAIC,7,42,atom_occlusion,0.06468900354371558,0.4479832022985863,0.6294252298128634,0.5977557683029419
bxaic,B-XAIC,7,42,gnnexplainer,0.08407895064458669,0.842225171181841,0.25129021214112524,0.24182172202807792
bxaic,B-XAIC,7,42,gradinput,0.07013587970470544,0.5465489636171087,0.5748715403284386,0.5467488675390888
bxaic,B-XAIC,7,42,ig,0.0680419963778547,0.5124142585374518,0.588598279200805,0.5592090625571947
bxaic,B-XAIC,7,42,saliency,0.07671404900849034,0.5145351895780589,0.46346295355431927,0.4444534796080058
google,Graph Attribution,4,24,atom_occlusion,0.09232749192789082,0.600068940095426,0.5415813657483376,0.5047509813874541
google,Graph Attribution,4,24,gnnexplainer,0.08474685331168039,0.8765195609514278,0.3609851954699863,0.34806246362599425
google,Graph Attribution,4,24,gradinput,0.07582234154242126,0.8514840419414595,0.38692419808365486,0.3711240721358162
google,Graph Attribution,4,24,ig,0.08259966180145696,0.7626093537799693,0.421256318384884,0.4010372067380783
google,Graph Attribution,4,24,saliency,0.08525840042296154,0.7793895606590545,0.4337705410072755,0.4086879144892823
