cell_id,family,task,model,seed,method,n_calibration,n_test,risk,atom_fraction,precision,iou,selected_grid_fraction,risk_pass,efficiency_pass
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,gradinput,100,100,0.10051282051282055,0.8870361362786398,0.30738888578622936,0.29617272042707493,0.87,False,False
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,ig,100,100,0.08722222222222221,0.7465769323412246,0.36282902221333047,0.3471444227884083,0.73,True,True
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,100,100,0.07376068376068379,0.7566755075099121,0.3668332840029997,0.3550646707648748,0.74,True,True
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,100,100,0.05918803418803419,0.5865030808876156,0.4783294023372235,0.4604317185431712,0.5700000000000001,True,True
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,gnnexplainer,100,100,0.0788034188034188,0.8870361362786398,0.3109641152226131,0.3015677270706033,0.87,True,False
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,gradinput,100,100,0.0877777777777778,0.7059355362766441,0.3904895599655868,0.37492582417289844,0.6900000000000001,True,True
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,ig,100,100,0.09247863247863249,0.6962132090655782,0.3868160276474918,0.36788542364195903,0.68,True,True
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,saliency,100,100,0.07200854700854702,0.8870361362786398,0.314144211764687,0.30530519274140816,0.87,True,False
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,100,100,0.08371794871794873,0.5649667184462824,0.47995009249411097,0.4549787828932635,0.55,True,True
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,gnnexplainer,100,100,0.09594017094017096,0.8953155307439354,0.3052809205194887,0.29520793645036514,0.88,True,False
bxaic__indole__gin__seed123,bxaic,indole,gin,123,gradinput,100,100,0.09094017094017094,0.9461477681560427,0.2917814350492656,0.2836461832287072,0.93,True,False
bxaic__indole__gin__seed123,bxaic,indole,gin,123,ig,100,100,0.08136752136752139,0.5950041255647353,0.4582806400459509,0.4361087997743086,0.58,True,True
bxaic__indole__gin__seed123,bxaic,indole,gin,123,saliency,100,100,0.0938034188034188,0.5649667184462824,0.4755825329742261,0.4474318153198488,0.55,True,True
bxaic__indole__gin__seed123,bxaic,indole,gin,123,atom_occlusion,100,100,0.07051282051282053,0.3673562899899768,0.7347425661526613,0.685752352934507,0.35000000000000003,True,True
bxaic__indole__gin__seed123,bxaic,indole,gin,123,gnnexplainer,100,100,0.06568376068376068,0.9268207544734643,0.30422419372978865,0.29697181003146406,0.91,True,False
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,gradinput,100,100,0.04896011396011396,0.9903357517629351,0.2970084514401174,0.2953517280781827,0.97,True,False
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,ig,100,100,0.06615384615384617,0.7744529999490817,0.3620539253460877,0.35017794219771425,0.76,True,True
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,saliency,100,100,0.08888888888888889,0.646890265645836,0.420360108850561,0.4008908151658964,0.63,True,True
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,atom_occlusion,100,100,0.06487179487179487,0.4268167022833334,0.6439056653731847,0.6086742817001575,0.41000000000000003,True,True
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,gnnexplainer,100,100,0.07401709401709403,0.8870361362786398,0.31590514866630287,0.3075197547266535,0.87,True,False
bxaic__indole__gin__seed42,bxaic,indole,gin,42,gradinput,100,100,0.07384615384615387,0.9461477681560427,0.2968989362254156,0.28996489896743927,0.93,True,False
bxaic__indole__gin__seed42,bxaic,indole,gin,42,ig,100,100,0.10098290598290599,0.6877095136027702,0.39464389867922295,0.37646193829385155,0.67,False,True
bxaic__indole__gin__seed42,bxaic,indole,gin,42,saliency,100,100,0.08470085470085469,0.5950041255647353,0.4554695232180935,0.4328334552175789,0.58,True,True
bxaic__indole__gin__seed42,bxaic,indole,gin,42,atom_occlusion,100,100,0.065982905982906,0.41310256295373804,0.6639061610192397,0.627294513164171,0.4,True,True
bxaic__indole__gin__seed42,bxaic,indole,gin,42,gnnexplainer,100,100,0.09163817663817665,0.9365840573780705,0.29624897558324287,0.2883387557915636,0.92,True,False
bxaic__P__gcn__seed123,bxaic,P,gcn,123,gradinput,100,100,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.03,True,True
bxaic__P__gcn__seed123,bxaic,P,gcn,123,ig,100,100,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.03,True,True
bxaic__P__gcn__seed123,bxaic,P,gcn,123,saliency,100,100,0.08350980392156863,0.055257623773355115,0.6511666666666666,0.617656862745098,0.04,True,True
bxaic__P__gcn__seed123,bxaic,P,gcn,123,atom_occlusion,100,100,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.03,True,True
bxaic__P__gcn__seed123,bxaic,P,gcn,123,gnnexplainer,100,100,0.06458823529411764,0.9144830681791194,0.04185993781554939,0.04176718045805411,0.9,True,False
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,gradinput,100,100,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.03,True,True
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,ig,100,100,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.03,True,True
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,saliency,100,100,0.09533333333333333,0.08745679688822303,0.42564957264957265,0.4233717948717948,0.07,True,True
