cell_id,family,task,model,molecules,rationale_molecules,null_molecules,accuracy,mean_selected_fraction,mean_selected_logit_drop,mean_random_logit_drop,mean_fidelity_advantage,mean_miss_loss,mean_precision,mean_iou,rationale_mean_fidelity_advantage,fidelity_win
bxaic__B__gcn__seed42,bxaic,B,gcn,4999,109,4890,1.0,0.03541972367279733,2.0534976679316803,0.3481379226222709,1.7053597453094096,0.029051987767584102,0.9908256880733946,0.9617737003058103,16.11741124599352,True
bxaic__B__gin__seed42,bxaic,B,gin,4999,109,4890,1.0,0.03541972367279733,1.0288239641889712,-0.27486572017143146,1.3036896843604027,0.029051987767584102,0.9908256880733946,0.9617737003058103,24.37622980568387,True
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,4999,1644,3355,0.8059611922384476,0.9086088806041465,1.7701804050581411,0.22682995327557773,1.5433504517825634,0.09730453274525722,0.34111928160404054,0.328711801357458,1.1588711305510098,True
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,4999,1644,3355,0.8831766353270654,0.8568006763395052,12.429104768921672,10.96319832885759,1.4659064400640816,0.10021768040983,0.3568805125034743,0.34109078343254073,4.493392951034209,True
bxaic__P__gcn__seed42,bxaic,P,gcn,4999,638,4361,1.0,0.03643548629073099,2.8884588924854557,0.36933615575387113,2.519122736731585,0.10976490624748046,0.9612068965517241,0.8514419903042436,15.552872145063825,True
bxaic__P__gin__seed42,bxaic,P,gin,4999,638,4361,1.0,0.03643548629073099,4.2084713586212805,0.22484848515513803,3.983622873466142,0.10976490624748046,0.9612068965517241,0.8514419903042436,26.64275764746352,True
bxaic__X__gcn__seed42,bxaic,X,gcn,4999,2822,2177,0.9997999599919984,0.06801503855167143,10.259391895197085,0.7029879383979785,9.556403956799107,0.0921681122248096,0.7275108622380061,0.6353427500131965,15.87834799627646,True
bxaic__X__gin__seed42,bxaic,X,gin,4999,2822,2177,0.998999799959992,0.06801503855167143,11.513060418277485,0.29169860825011146,11.221361810027373,0.0921681122248096,0.7275108622380061,0.6353427500131965,19.82148279668928,True
bxaic__indole__gcn__seed42,bxaic,indole,gcn,4999,1847,3152,0.8507701540308061,0.6968348314331273,1.517732248386876,0.34900032006804765,1.1687319283188284,0.09511959796204517,0.4027538760795683,0.38370343986976596,1.4242331070808314,True
bxaic__indole__gin__seed42,bxaic,indole,gin,4999,1847,3152,0.9663932786557311,0.6903602748665949,2.7939893367839446,1.363109055340922,1.4308802814430226,0.09801464452249507,0.40922584978992593,0.39055677558899315,1.813586034449488,True
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,4999,4933,66,0.8737747549509902,0.9086088806041465,0.8870193502334958,-1.151326648710632,2.038345998944128,0.09968211792662797,0.6361404579511644,0.5943229360448445,2.0596677205298217,True
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,4999,4933,66,0.9895979195839167,0.9153600500684033,-9.774123930697394,-9.647286842813203,-0.1268370878841906,0.09417992244073636,0.6406271058561605,0.6078680865814945,-0.12896784792655916,False
bxaic__rings-max__gcn__seed42,bxaic,rings-max,gcn,4999,277,4722,0.8075615123024605,0.9370451670953279,-1.9808593043853675,-2.1083720069178153,0.12751270253244792,0.08749858457981444,0.2637204207080502,0.2573218213892817,0.16986143287768862,True
bxaic__rings-max__gin__seed42,bxaic,rings-max,gin,4999,277,4722,0.8507701540308061,0.9475791566835585,26.23635077190342,20.97134535077525,5.265005421128171,0.0999492544118747,0.25733658573042917,0.2500505049036156,7.71932657014592,True
google__benzene__gcn__seed42,google,benzene,gcn,2000,999,1001,0.8585,0.4925001727096881,1.4620728156417608,1.1962146793305874,0.26585813631117344,0.10280220696887361,0.6599771488660378,0.6037253316450083,0.2088784633336721,True
google__benzene__gin__seed42,google,benzene,gin,2000,999,1001,0.914,0.7571515959890007,4.046059319660068,2.686223013922572,1.3598363057374954,0.10225344392011057,0.4382200548781216,0.4161341291619032,1.1691708939450163,True
google__logic10__gcn__seed42,google,logic10,gcn,969,112,857,0.8307533539731682,0.6537364505737935,1.0998352328997771,-2.3083886643343052,3.408223897234082,0.1044853212263926,0.674796074461253,0.6267632635804904,1.920526192656585,True
google__logic10__gin__seed42,google,logic10,gin,969,112,857,0.8121775025799793,0.8951041365860727,28.216065467080586,9.850435415503902,18.365630051576684,0.09142483260786824,0.5021744865287545,0.4778516872335979,10.14667340181768,True
google__logic7__gcn__seed42,google,logic7,gcn,486,47,439,0.9156378600823045,0.5857905198698349,3.3015357405560497,2.4078427835256475,0.8936929570304023,0.06793313069908813,0.31179942988453624,0.30446571749763235,2.5663943797984023,True
google__logic7__gin__seed42,google,logic7,gin,486,47,439,0.9012345679012346,0.765600299673817,0.2835310179387591,-3.0638671644921165,3.347398182430876,0.09169199594731509,0.2326523265213075,0.2278632556685715,1.8036946413364816,True
google__logic8__gcn__seed42,google,logic8,gcn,918,184,734,0.6623093681917211,0.9923311546840959,-0.6115882470716838,-0.663038484735946,0.0514502376642622,0.027254101574753744,0.3006255786403412,0.29894985400266005,0.14697108709293863,True
google__logic8__gin__seed42,google,logic8,gin,918,184,734,0.5838779956427015,0.8825287955059201,4.237428099436438,3.040696520691084,1.1967315787453536,0.09056520170650603,0.3149575669148458,0.3060177022898028,0.8826876030020092,True
