family,task,models,mean_miss_loss,mean_iou,mean_selected_fraction,mean_fidelity_advantage,fidelity_wins
bxaic,B,2,0.029051987767584102,0.9617737003058103,0.03541972367279733,1.5045247148349061,2
bxaic,P,2,0.10976490624748046,0.8514419903042436,0.03643548629073099,3.2513728050988635,2
bxaic,PAINS,2,0.09876110657754361,0.33490129239499933,0.8827047784718258,1.5046284459233226,2
bxaic,X,2,0.0921681122248096,0.6353427500131965,0.06801503855167143,10.38888288341324,2
bxaic,indole,2,0.09656712124227013,0.38713010772937956,0.693597553149861,1.2998061048809255,2
bxaic,rings-count,2,0.09693102018368216,0.6010955113131695,0.9119844653362749,0.9557544555299686,1
bxaic,rings-max,2,0.09372391949584458,0.25368616314644865,0.9423121618894432,2.6962590618303093,2
google,benzene,2,0.1025278254444921,0.5099297304034558,0.6248258843493444,0.8128472210243344,2
google,logic10,2,0.09795507691713043,0.5523074754070442,0.7744202935799331,10.886926974405384,2
google,logic7,2,0.07981256332320161,0.26616448658310193,0.675695409771826,2.120545569730639,2
google,logic8,2,0.05890965164062989,0.3024837781462314,0.937429975095008,0.624090908204808,2
