family,task,molecules,mean_false_highlight_fraction,mean_fidelity_advantage
bxaic,B,9780,0.03534882611676777,1.0867516589250057
bxaic,P,8722,0.036419356789503456,0.6404968467950001
bxaic,PAINS,6710,0.8824392682274272,0.857071989897955
bxaic,X,4354,0.06784276512487265,0.7173010038163172
bxaic,indole,6304,0.6944901952293189,1.1128187630382287
bxaic,rings-count,132,0.9237871313063556,0.23856496088432544
bxaic,rings-max,9444,0.9426022623506826,2.6230297568129917
google,benzene,2002,0.6272067100225024,0.9364223657222418
google,logic10,1714,0.7744300391975776,11.521200771188166
google,logic7,878,0.6757162698341097,2.113640216155856
google,logic8,1468,0.9376665992673154,0.651480727851878
